Hotel ID;Facility ID;Nome
370;924;Airport Shuttle (additional cost)
472;925;Library
472;926;Cellaret
399;927;Daily Fresh bread service (Extra Charge)
304;928;Tea maker
304;929;Bidet
480;930;Super king-size bed (200x200cm)
480;931;National and organic luxury bed linen
480;932;Marble walk-in rain shower
480;933;Marble bathtub
480;934;Underfloor heating and cooling system
480;935;Optoma projector
480;936;Cambridge audio
480;937;Free Internet access
480;938;Complimentary breakfast basket In-room (service on request)
480;939;Private patio and roof terrace
480;940;Private patio and olive garden
480;941;Private pool
480;942;Flat screen tv
480;943;Private marble cube patio
480;944;Private brazier
472;945;Induction Cooker
472;946;Oven
472;947;Exhaust Fan
472;948;Microwave
472;949;Refrigerator and Freezer
472;950;Electric kettle
472;951;Nespresso Coffee Machine
472;952;Cookware and Kitchen Utensils
472;953;Dining table
472;954;Iron and Ironing Board
472;956;Daily Clean
504;958;Tenis table
504;960;Mini Golf
504;961;Playground
399;962;Bike Hire  (Extra Charge)
399;963;Pool/Beach Towels
399;964;Laundry (Extra Charge)
399;965;Airport Shuttle (Extra Charge)
510;966;Motos
511;967;Motos
517;968;Transfer from Train Station to Hotel
517;969;Transfer from Hotel to Train Station
517;975;Bike Renting
503;976;Bathroom with bath and shower
536;982;Parking
533;994;Sofa
533;995;Full Kitchenette
534;996;Full Kitchenette
544;997;1 Bathroom
544;999;Pets not allowed
544;1000;Heaters
544;1001;Dining Area
544;1002;Cable Channels and flat screen TV
544;1003;Equipped Kitchen
544;1004;Iron and ironing board
544;1005;Oven
544;1006;Refrigerator
544;1007;Free Internet / Wi-Fi
544;1008;Bed Linen and Towels provided
544;1009;Microwave
544;1010;Cofee machine
544;1012;Vitroceramic stovetop
544;1013;Non-Smoking throughout all areas
544;1014;Airport Shuttle (additional cost)
544;1016;Fans
543;1017;1 Bathroom
543;1018;2 Bathrooms
543;1019;Entire unit wheelchair accessible
543;1020;Pets not allowed
543;1021;Dining Area
543;1022;Air conditioning
543;1023;Free Internet / Wi-Fi
543;1024;Upper floors accessible by lift
543;1025;Non-Smoking throughout all areas
543;1026;Airport Shuttle (additional cost)
543;1027;1 Bathroom
543;1028;2 Bathrooms
543;1029;Entire unit wheelchair accessible
543;1030;Pets not allowed
543;1031;Air conditioning
543;1032;Dining Area
543;1033;Cable Channels and flat screen TV
543;1034;Electric Kettle
543;1035;Fully equipped kitchen
543;1036;Iron and ironing board
543;1037;Oven
543;1038;Free Internet / WI-FI
543;1039;Bed Linen and Towels provided
543;1040;Microwave
543;1041;Cofee Machine
543;1042;Dishwasher
543;1043;Washing  Machine
543;1044;Dryer Machine
543;1045;Vitroceramic stovetop
543;1046;Non-Smoking throughout all areas
543;1047;Airport Shuttle (additional cost)
